"Batter","BatterSide","ExitSpeed","LaunchAngle","Direction","Bearing","Distance","TaggedHitType"
"Kendal Ewell","Right",104.78,8.96,-10.12,-12.79,143.68,"LineDrive"
"Kendal Ewell","Right",93.8,7.19,-6.69,-9.56,122.45,"LineDrive"
"Kendal Ewell","Right",108.59,11.78,-5.7,-6.1,177.12,"LineDrive"
"Kendal Ewell","Right",91.31,29.62,-1.95,-2.89,464.41,"LineDrive"
"Kendal Ewell","Right",63.55,17,21.92,27.28,115.33,"LineDrive"
"Kendal Ewell","Right",112.32,8.24,13.51,21.28,199.67,"LineDrive"
"Kendal Ewell","Right",102.81,20.37,5.39,13.51,178.02,"LineDrive"
"Kendal Ewell","Right",105.49,19.25,4.44,16.23,331.36,"LineDrive"
"Kendal Ewell","Right",102.89,7.27,28.13,34.09,172.61,"LineDrive"
"Kendal Ewell","Right",73.75,17.31,29.44,29.36,183.45,"LineDrive"
"Kendal Ewell","Right",63.11,33.52,31.91,43.64,173.61,"LineDrive"
"Kendal Ewell","Right",103.36,15.72,22.41,33.83,257.75,"LineDrive"
"Kendal Ewell","Right",100.95,20.42,17.47,30.96,266.17,"LineDrive"
"Kendal Ewell","Right",100.64,15.3,32.05,42.81,252.95,"LineDrive"
"Kendal Ewell","Right",83.1,27.82,-7.42,-10.72,302.59,""
"Kendal Ewell","Right",102.49,25.83,-0.38,3.45,379,""
"Kendal Ewell","Right",75.04,27.07,13.44,26.94,234.15,""
"Kendal Ewell","Right",91.28,23.64,9.4,13.66,271.61,""
"Kendal Ewell","Right",103.02,9.86,-23.74,-29.11,146.62,""
"Kendal Ewell","Right",99.09,2.11,-17.16,-17.45,57.61,""
"Kendal Ewell","Right",90.77,-10.96,-25.77,-21.01,11.71,""
"Kendal Ewell","Right",71.12,-8.94,-8.52,0.15,99.55,""
"Kendal Ewell","Right",71.51,4.69,-1.67,0.65,56.58,""
"Kendal Ewell","Right",88.12,-35.14,8.48,16.15,177.51,""
"Kendal Ewell","Right",83.1,-20.84,19.97,30.23,3.93,""
"Kendal Ewell","Right",103.38,19.33,-13.67,-18.36,353.27,""
"Kendal Ewell","Right",104.86,10.79,-11.27,-13.85,168.34,""
"Kendal Ewell","Right",83.02,-7.15,-7.15,-2.11,156.27,""
"Kendal Ewell","Right",86.62,16.94,-0.26,3.1,254.8,""
"Kendal Ewell","Right",106.57,5.43,28.53,34.06,116.8,""
"Kendal Ewell","Right",105.64,9.17,12.73,20.87,208.7,""
